L4 | Sat Jan 18 00:07:20 2020 (615 ms) | general | exiting: calling SDL_CloseAudio
L4 | Sat Jan 18 00:19:59 2020 (676 ms) | general | Checking if requested video mode (1440x900) is available
L4 | Sat Jan 18 00:19:59 2020 (676 ms) | general | Available video modes:
L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    2560 x 1600

L4 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1920 x 1440

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1920 x 1200

L4 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1856 x 1392

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1792 x 1344

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1680 x 1050

L4 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1600 x 1200

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1440 x 900

L4 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    ^^^^ this mode matches requested mode
L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1400 x 1050

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1360 x 768

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1280 x 1024

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1280 x 960

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1280 x 800

L4 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1280 x 768

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1152 x 864

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    1024 x 768

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    800 x 600

L5 | Sat Jan 18 00:19:59 2020 (676 ms) | general |    640 x 480

L4 | Sat Jan 18 00:19:59 2020 (752 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Sat Jan 18 00:20:00 2020 (13 ms) | general | Recording game into file recordedGames/recordedGame000085.txt
L4 | Sat Jan 18 00:20:00 2020 (14 ms) | general | Only keeping 20 past recordings
L4 | Sat Jan 18 00:20:00 2020 (14 ms) | general | Removed 1 stale recordings
L4 | Sat Jan 18 00:20:00 2020 (54 ms) | general | OneLife client v219 (binV=219, dataV=0) starting up
L4 | Sat Jan 18 00:21:41 2020 (453 ms) | general | exiting...

L4 | Sat Jan 18 00:21:41 2020 (453 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sat Jan 18 00:21:41 2020 (682 ms) | general | exiting: Deleting sceneHandler

L4 | Sat Jan 18 00:21:41 2020 (682 ms) | general | Freeing sound sprites

L4 | Sat Jan 18 00:21:41 2020 (683 ms) | general | exiting: freeing frameDrawer

L4 | Sat Jan 18 00:21:41 2020 (773 ms) | general | exiting: Deleting screen

L4 | Sat Jan 18 00:21:41 2020 (773 ms) | general | exiting: freeing drawString

L4 | Sat Jan 18 00:21:41 2020 (774 ms) | general | exiting: calling SDL_Quit()

L4 | Sat Jan 18 00:21:41 2020 (804 ms) | general | exiting: Done.

